log_id;timestamp;action;employee_id;employee_name;field_name;old_value;new_value;details
25;2026-01-26T04:01:55.671Z;UPDATE;6;Михайлов Симон Васильевич;bank_iban;;IBAN;Изменено поле: bank_iban
26;2026-01-26T04:01:55.672Z;UPDATE;6;Михайлов Симон Васильевич;tax_id;;ИНН;Изменено поле: tax_id
27;2026-01-26T04:01:55.674Z;UPDATE;6;Михайлов Симон Васильевич;email;;Эл. почта;Изменено поле: email
28;2026-01-26T04:01:55.675Z;UPDATE;6;Михайлов Симон Васильевич;blood_group;;II (A);Изменено поле: blood_group
29;2026-01-26T04:01:55.676Z;UPDATE;6;Михайлов Симон Васильевич;workplace_location;;крыша;Изменено поле: workplace_location
30;2026-01-26T04:01:55.677Z;UPDATE;6;Михайлов Симон Васильевич;residence_place;;минск;Изменено поле: residence_place
31;2026-01-26T04:01:55.678Z;UPDATE;6;Михайлов Симон Васильевич;registration_place;;узбекистан;Изменено поле: registration_place
32;2026-01-26T04:01:55.679Z;UPDATE;6;Михайлов Симон Васильевич;driver_license_file;;C:\fakepath\file_1.pdf;Изменено поле: driver_license_file
33;2026-01-26T04:01:55.680Z;UPDATE;6;Михайлов Симон Васильевич;criminal_record_file;;C:\fakepath\foreign_passport_file.pdf;Изменено поле: criminal_record_file
34;2026-01-26T04:01:55.681Z;UPDATE;6;Михайлов Симон Васильевич;phone;;Телефон;Изменено поле: phone
35;2026-01-26T04:01:55.683Z;UPDATE;6;Михайлов Симон Васильевич;phone_note;;Примечание к телефону;Изменено поле: phone_note
36;2026-01-26T04:01:55.684Z;UPDATE;6;Михайлов Симон Васильевич;education;;Образование;Изменено поле: education
37;2026-01-26T04:01:55.685Z;UPDATE;6;Михайлов Симон Васильевич;notes;;Примечание Примечание Примечание Примечание;Изменено поле: notes
38;2026-01-26T04:05:59.808Z;CREATE;7;Тестов Иван Петрович;;;;Создан новый сотрудник
39;2026-01-26T04:06:17.414Z;UPDATE;7;Тестов Иван Петрович;position;;Тестировщик;Изменено поле: position
40;2026-01-26T04:07:53.088Z;DELETE;12;Петров Алексей Николаевич;;;;Сотрудник удален
41;2026-01-26T04:08:00.885Z;DELETE;11;Сидорова Анна Михайловна;;;;Сотрудник удален
42;2026-01-26T04:08:07.434Z;DELETE;10;Иванов Петр Сергеевич;;;;Сотрудник удален
43;2026-01-26T04:08:13.585Z;DELETE;9;Сидорова Анна Михайловна;;;;Сотрудник удален
44;2026-01-26T04:08:18.203Z;DELETE;8;Иванов Петр Сергеевич;;;;Сотрудник удален
45;2026-01-26T04:08:36.184Z;DELETE;7;Тестов Иван Петрович;;;;Сотрудник удален
46;2026-01-26T04:09:00.577Z;CREATE;7;Бухтий Самойлов;;;;Создан новый сотрудник
47;2026-01-26T04:17:51.846Z;UPDATE;1;Иванов Петр Сергеевич;driver_license_file;files/employee_1/driver_license_file.pdf;;Удален документ: driver_license_file
